"q";"a";"reasoning"
"How many activities are present in the whole workflow?";"3";"total_activities: 3"
"What is the final status of the workflow?";"Completed";"status: Completed"
"What is the time to completion of the workflow?";"Unknown";"started_at/ended_at are ~"
"List all the parameters of the first activity of the workflow";"inputs: cybersectony/PhishingEmailDetectionv2.0 (raw); outputs: split dataset (train/val/test)";"DataPreparation is first activity"
"What hardware was used in the workflow?";"Unknown";"compute_hardware: ~"
"Who is responsible for this workflow (person or username or entity)?";"Unknown";"user: ~"
"What was the specific execution order of the tasks?";"DataPreparation → ModelFinetuning → ModelEvaluation";"activity DAG"
"List all parameters for all activites in the workflow";"DataPreparation: inputs=PhishingEmailDetectionv2.0 raw; ModelFinetuning: inputs=distilbert-base-uncased/train split; params=epochs=3 max_length=512 truncation=True; ModelEvaluation: inputs=fine-tuned model/val+test split";"activities section"
"What was the peak RAM consumption during the workflow?";"Unknown";"memory: ~"
"Has the model been trained in a distributed setting?";"No";"single model fine-tuning; no distributed training mentioned"
"What was the total power consumption in Watts of the GPU(s) during the workflow?";"Unknown";"gpu power not reported"
"What significant input artifacts are involved in the generation of the finetuned model?";"distilbert/distilbert-base-uncased; cybersectony/PhishingEmailDetectionv2.0 (train split)";"Notable Inputs to ModelFinetuning"
"What is the total energy use for completing the workflow?";"Unknown";"energy not reported"
"List all input files with size larger than 100Mb";"None above 100 MB (train split: ~47.2 MB; val: ~5.1 MB; test: ~14.9 MB)";"split sizes given in datacard; none exceed 100 MB"
"List all different file types used as input";"Parquet";"format: Parquet with content and label columns"
"Identify the largest output";"phishing-email-detection-distilbert_v2.4.1 (fine-tuned model)";"only output artifact"
"What is the science domain of the dataset?";"Cybersecurity";"phishing email and URL detection"
"Does the dataset have a predetermined train-test split?";"Yes; train: 120,000 / validation: 20,000 / test: 60,000";"predefined split in datacard"
"How many samples are present in the whole dataset?";"200,000";"total samples: 200,000 entries"
"What is the data type of the ground truth (if present)?";"Integer class label (0–3: legitimate_email/phishing_email/legitimate_url/phishing_url)";"label dtype: int64, 4 classes"
"What is the specific task for which the dataset was created?";"Multi-class classification of phishing emails and URLs";"task type: multi-class classification"
"What is the size in byte of one sample?";"Unknown";"per-sample byte size not given explicitly"
"What is the total size of the whole dataset?";"~67.2 MB (67,150,692 bytes)";"dataset_size: 67150692 in datacard"
"What are the designed uses for this model?";"Phishing email and URL detection; email security";"model card: fine-tuned for phishing classification"
"How many epochs have been used in the finetuning?";"3";"Training Duration: 3 epochs"
"How many model parameters (weights) does the model have?";"~67M";"distilbert-base-uncased: ~67M parameters"
"What is the science domain of the model?";"Cybersecurity";"phishing detection domain"
"What is the task solved by this model (regression or classification or forecast etc.)?";"Multi-class classification (4 classes)";"sequence classification head with num_labels=4"
"What is the intended use of this model?";"Classifying emails and URLs as legitimate or phishing (4 classes)";"model card intended use"
"What is the size of the final model in Mb?";"~67 MB";"DistilBERT ~67M params ≈ ~67 MB at FP32; ~250 MB with full precision but distilbert is small"
"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";"Full fine-tuning via Hugging Face Trainer API";"no LoRA; standard supervised fine-tuning"
"What is the claimed performance of this model?";"Accuracy: 99.58%; F1: 99.579%; Precision: 99.583%; Recall: 99.58%";"evaluation_report in ModelEvaluation"
"Are the performance shown in the pretrained version improved in the finetuning?";"Not directly comparable; pretrained DistilBERT is MLM, finetuned is classification";"pretrained used MLM on Wikipedia/BooksCorpus; no phishing baseline"
